,Item,Calories,Fat (g),Carb. (g),Fiber (g),Protein (g)
0,Cool Lime Starbucks Refreshersâ„¢ Beverage,45,0,11,0,0
3,Strawberry Acai Starbucks Refreshersâ„¢ Beverage,80,0,18,1,0
4,Very Berry Hibiscus Starbucks Refreshersâ„¢ Beverage,60,0,14,1,0
8,Evolution Freshâ„¢ Organic Ginger Limeade,110,0,28,0,0
9,Iced Coffee,0,0,0,0,0
11,Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5
12,Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5
13,Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5
18,Shaken Sweet Tea,80,0,19,0,0
19,TazoÂ® Bottled Berry Blossom White,60,0,15,0,0
20,TazoÂ® Bottled Black Mango,150,0,38,0,0
21,TazoÂ® Bottled Black with Lemon,140,0,35,0,0
22,TazoÂ® Bottled Brambleberry,140,0,35,0,0
23,TazoÂ® Bottled Giant Peach,150,0,37,0,0
24,TazoÂ® Bottled Iced Passion,70,0,17,0,0
25,TazoÂ® Bottled Lemon Ginger,120,0,31,0,0
26,TazoÂ® Bottled Organic Black Lemonade,140,0,35,0,0
27,TazoÂ® Bottled Organic Iced Black Tea,60,0,15,0,0
28,TazoÂ® Bottled Organic Iced Green Tea,120,0,31,0,0
29,TazoÂ® Bottled Plum Pomegranate,140,0,35,0,0
30,TazoÂ® Bottled Tazoberry,150,0,38,0,0
31,TazoÂ® Bottled White Cranberry,140,0,35,0,0
32,TeavanaÂ® Shaken Iced Black Tea,30,0,8,0,0
33,TeavanaÂ® Shaken Iced Black Tea Lemonade,70,0,17,0,0
34,TeavanaÂ® Shaken Iced Green Tea,30,0,8,0,0
35,TeavanaÂ® Shaken Iced Green Tea Lemonade,70,0,17,0,0
36,TeavanaÂ® Shaken Iced Passion Tangoâ„¢ Tea,30,0,8,0,0
37,TeavanaÂ® Shaken Iced Passion Tangoâ„¢ Tea Lemonade,90,0,24,0,0
38,TeavanaÂ® Shaken Iced Peach Green Tea,60,0,15,0,0
39,Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5
40,Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5
41,Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5
55,Starbucks Refreshersâ„¢ Raspberry Pomegranate,90,0,27,0,0
56,Starbucks Refreshersâ„¢ Strawberry Lemonade,90,0,27,0,0
68,StarbucksÂ® Doubleshot Protein Dark Chocolate,210,2.5,33,2,20
69,StarbucksÂ® Doubleshot Protein Vanilla,200,2.5,34,2,20
71,StarbucksÂ® Iced Coffee Caramel,60,0,13,0,1
72,StarbucksÂ® Iced Coffee Light Sweetened,50,0,11,0,1
73,StarbucksÂ® Iced Coffee Unsweetened,10,0,2,0,1
77,TazoÂ® Bottled Berry Blossom White,60,0,15,0,0
78,TazoÂ® Bottled Black Mango,150,0,38,0,0
79,TazoÂ® Bottled Black with Lemon,140,0,35,0,0
80,TazoÂ® Bottled Brambleberry,140,0,35,0,0
81,TazoÂ® Bottled Giant Peach,150,0,37,0,0
82,TazoÂ® Bottled Iced Passion,70,0,17,0,0
83,TazoÂ® Bottled Lemon Ginger,120,0,31,0,0
84,TazoÂ® Bottled Organic Black Lemonade,140,0,35,0,0
85,TazoÂ® Bottled Organic Iced Black Tea,60,0,15,0,0
86,TazoÂ® Bottled Organic Iced Green Tea,120,0,31,0,0
87,TazoÂ® Bottled Plum Pomegranate,140,0,35,0,0
88,TazoÂ® Bottled Tazoberry,150,0,38,0,0
89,TazoÂ® Bottled White Cranberry,140,0,35,0,0
94,Blonde Roast,5,0,0,0,1
96,CloverÂ® Brewed Coffee,10,0,0,0,1
98,Decaf Pike PlaceÂ® Roast,5,0,0,0,1
99,Featured Dark Roast,5,0,0,0,1
100,Iced Coffee,5,0,0,0,0
102,NariÃ±o 70 Cold Brew,5,0,0,0,0
103,NariÃ±o 70 Cold Brew with Milk,0,0,0,0,0
104,Nitro Cold Brew,5,0,0,0,0
105,Nitro Cold Brew with Sweet Cream,70,5,5,0,1
106,Pike PlaceÂ® Roast,5,0,0,0,1
108,Vanilla Sweet Cream Cold Brew,110,6,14,0,1
109,Hot Chocolate,320,9,47,4,14
110,StarbucksÂ® Signature Hot Chocolate,430,26,45,5,12
112,CaffÃ¨ Latte,190,7,19,0,13
113,CaffÃ¨ Mocha,290,8,42,4,13
114,Cappuccino,120,4,12,0,8
115,Caramel Macchiato,250,7,35,0,10
117,Cinnamon Dolce Latte,260,6,40,0,11
118,Coconutmilk Mocha Macchiato,250,9,32,0,12
122,Flat White,180,7,18,0,12
124,Iced CaffÃ¨ Latte,130,4.5,13,0,8
125,Iced CaffÃ¨ Mocha,230,6,36,4,9
126,Iced Caramel Macchiato,250,7,37,0,10
128,Iced Cinnamon Dolce Latte,200,4,34,0,7
129,Iced Coconutmilk Mocha Macchiato,260,9,34,0,11
132,Iced Vanilla Latte,190,4,30,0,7
133,Iced White Chocolate Mocha,300,8,47,0,10
134,Latte Macchiato,190,7,19,0,12
135,Latte Macchiato,190,7,19,0,12
137,Starbucks DoubleshotÂ® on Ice Beverage,45,1,5,0,3
138,Vanilla Latte,250,6,37,0,12
139,White Chocolate Mocha,360,11,53,0,14
146,Cinnamon Dolce FrappuccinoÂ® Blended Coffee,350,4.5,64,0,15
150,Coffee Light FrappuccinoÂ® Blended Coffee,110,0,24,0,3
158,Mocha FrappuccinoÂ® Blended Coffee,280,2.5,60,2,4
159,Mocha Light FrappuccinoÂ® Blended Coffee,140,0.5,28,1,4
168,Cinnamon Dolce CrÃ¨me,200,6,28,0,10
171,Vanilla CrÃ¨me,200,6,28,0,10
172,Chocolate Smoothie,320,5,53,8,20
173,Strawberry Smoothie,300,2,60,7,16
0,Cool Lime Starbucks Refreshersâ„¢ Beverage,45,0,11,0,0
3,Strawberry Acai Starbucks Refreshersâ„¢ Beverage,80,0,18,1,0
4,Very Berry Hibiscus Starbucks Refreshersâ„¢ Beverage,60,0,14,1,0
8,Evolution Freshâ„¢ Organic Ginger Limeade,110,0,28,0,0
9,Iced Coffee,0,0,0,0,0
11,Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5
12,Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5
13,Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5
18,Shaken Sweet Tea,80,0,19,0,0
19,TazoÂ® Bottled Berry Blossom White,60,0,15,0,0
20,TazoÂ® Bottled Black Mango,150,0,38,0,0
21,TazoÂ® Bottled Black with Lemon,140,0,35,0,0
22,TazoÂ® Bottled Brambleberry,140,0,35,0,0
23,TazoÂ® Bottled Giant Peach,150,0,37,0,0
24,TazoÂ® Bottled Iced Passion,70,0,17,0,0
25,TazoÂ® Bottled Lemon Ginger,120,0,31,0,0
26,TazoÂ® Bottled Organic Black Lemonade,140,0,35,0,0
27,TazoÂ® Bottled Organic Iced Black Tea,60,0,15,0,0
28,TazoÂ® Bottled Organic Iced Green Tea,120,0,31,0,0
29,TazoÂ® Bottled Plum Pomegranate,140,0,35,0,0
30,TazoÂ® Bottled Tazoberry,150,0,38,0,0
31,TazoÂ® Bottled White Cranberry,140,0,35,0,0
32,TeavanaÂ® Shaken Iced Black Tea,30,0,8,0,0
33,TeavanaÂ® Shaken Iced Black Tea Lemonade,70,0,17,0,0
34,TeavanaÂ® Shaken Iced Green Tea,30,0,8,0,0
35,TeavanaÂ® Shaken Iced Green Tea Lemonade,70,0,17,0,0
36,TeavanaÂ® Shaken Iced Passion Tangoâ„¢ Tea,30,0,8,0,0
37,TeavanaÂ® Shaken Iced Passion Tangoâ„¢ Tea Lemonade,90,0,24,0,0
38,TeavanaÂ® Shaken Iced Peach Green Tea,60,0,15,0,0
39,Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5
40,Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5
41,Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5
55,Starbucks Refreshersâ„¢ Raspberry Pomegranate,90,0,27,0,0
56,Starbucks Refreshersâ„¢ Strawberry Lemonade,90,0,27,0,0
68,StarbucksÂ® Doubleshot Protein Dark Chocolate,210,2.5,33,2,20
69,StarbucksÂ® Doubleshot Protein Vanilla,200,2.5,34,2,20
71,StarbucksÂ® Iced Coffee Caramel,60,0,13,0,1
72,StarbucksÂ® Iced Coffee Light Sweetened,50,0,11,0,1
73,StarbucksÂ® Iced Coffee Unsweetened,10,0,2,0,1
77,TazoÂ® Bottled Berry Blossom White,60,0,15,0,0
78,TazoÂ® Bottled Black Mango,150,0,38,0,0
79,TazoÂ® Bottled Black with Lemon,140,0,35,0,0
80,TazoÂ® Bottled Brambleberry,140,0,35,0,0
81,TazoÂ® Bottled Giant Peach,150,0,37,0,0
82,TazoÂ® Bottled Iced Passion,70,0,17,0,0
83,TazoÂ® Bottled Lemon Ginger,120,0,31,0,0
84,TazoÂ® Bottled Organic Black Lemonade,140,0,35,0,0
85,TazoÂ® Bottled Organic Iced Black Tea,60,0,15,0,0
86,TazoÂ® Bottled Organic Iced Green Tea,120,0,31,0,0
87,TazoÂ® Bottled Plum Pomegranate,140,0,35,0,0
88,TazoÂ® Bottled Tazoberry,150,0,38,0,0
89,TazoÂ® Bottled White Cranberry,140,0,35,0,0
94,Blonde Roast,5,0,0,0,1
96,CloverÂ® Brewed Coffee,10,0,0,0,1
98,Decaf Pike PlaceÂ® Roast,5,0,0,0,1
99,Featured Dark Roast,5,0,0,0,1
100,Iced Coffee,5,0,0,0,0
102,NariÃ±o 70 Cold Brew,5,0,0,0,0
103,NariÃ±o 70 Cold Brew with Milk,0,0,0,0,0
104,Nitro Cold Brew,5,0,0,0,0
105,Nitro Cold Brew with Sweet Cream,70,5,5,0,1
106,Pike PlaceÂ® Roast,5,0,0,0,1
108,Vanilla Sweet Cream Cold Brew,110,6,14,0,1
109,Hot Chocolate,320,9,47,4,14
110,StarbucksÂ® Signature Hot Chocolate,430,26,45,5,12
112,CaffÃ¨ Latte,190,7,19,0,13
113,CaffÃ¨ Mocha,290,8,42,4,13
114,Cappuccino,120,4,12,0,8
115,Caramel Macchiato,250,7,35,0,10
117,Cinnamon Dolce Latte,260,6,40,0,11
118,Coconutmilk Mocha Macchiato,250,9,32,0,12
122,Flat White,180,7,18,0,12
124,Iced CaffÃ¨ Latte,130,4.5,13,0,8
125,Iced CaffÃ¨ Mocha,230,6,36,4,9
126,Iced Caramel Macchiato,250,7,37,0,10
128,Iced Cinnamon Dolce Latte,200,4,34,0,7
129,Iced Coconutmilk Mocha Macchiato,260,9,34,0,11
132,Iced Vanilla Latte,190,4,30,0,7
133,Iced White Chocolate Mocha,300,8,47,0,10
134,Latte Macchiato,190,7,19,0,12
135,Latte Macchiato,190,7,19,0,12
137,Starbucks DoubleshotÂ® on Ice Beverage,45,1,5,0,3
138,Vanilla Latte,250,6,37,0,12
139,White Chocolate Mocha,360,11,53,0,14
146,Cinnamon Dolce FrappuccinoÂ® Blended Coffee,350,4.5,64,0,15
150,Coffee Light FrappuccinoÂ® Blended Coffee,110,0,24,0,3
158,Mocha FrappuccinoÂ® Blended Coffee,280,2.5,60,2,4
159,Mocha Light FrappuccinoÂ® Blended Coffee,140,0.5,28,1,4
168,Cinnamon Dolce CrÃ¨me,200,6,28,0,10
171,Vanilla CrÃ¨me,200,6,28,0,10
172,Chocolate Smoothie,320,5,53,8,20
173,Strawberry Smoothie,300,2,60,7,16
0,Chonga Bagel,300,5.0,50,3,12
1,8-Grain Roll,380,6.0,70,7,10
2,Almond Croissant,410,22.0,45,3,10
3,Apple Fritter,460,23.0,56,2,7
4,Banana Nut Bread,420,22.0,52,2,6
5,Blueberry Muffin with Yogurt and Honey,380,16.0,53,1,6
6,Blueberry Scone,420,17.0,61,2,5
7,Butter Croissant,240,12.0,28,1,5
8,Butterfly Cookie,350,22.0,38,0,2
9,Cheese Danish,320,16.0,36,1,8
10,Chewy Chocolate Cookie,170,5.0,30,2,2
11,Chocolate Chip Cookie,310,15.0,42,2,4
12,Chocolate Chunk Muffin,440,21.0,60,2,7
13,Chocolate Croissant,330,18.0,38,1,6
14,Chocolate Hazelnut Croissant,390,22.0,43,2,7
15,Chocolate Marble Loaf Cake,490,24.0,64,2,6
16,Cinnamon Morning Bun,390,15.0,56,2,8
17,Cinnamon Raisin Bagel,270,1.0,58,3,9
18,Classic Coffee Cake,390,16.0,57,1,5
19,Cookie Butter Bar,360,23.0,36,0,2
20,Cranberry Orange Scone,420,15.0,64,1,6
21,Devil's Food Doughnut,430,23.0,53,2,5
22,Double Chocolate Brownie,410,24.0,46,3,6
23,Double Chocolate Chunk Brownie,490,28.0,55,3,7
24,Double Chocolate Loaf Cake,440,23.0,54,3,5
25,Everybody's Favorite - Bantam Bagel (2 Pack),100,3.5,14,0,3
26,Everything Bagel with Cheese,290,3.5,53,2,11
27,Frappuccino® Cookie Straw,90,3.0,14,0,1
28,French Toast - Bantam Bagels (2 Pack),200,8.0,30,0,6
29,Gluten-Free Marshmallow Dream Bar,240,5.0,45,0,2
30,Ice Cream Cone Sugar Cookie,250,14.0,29,1,3
31,Iced Lemon Pound Cake,470,20.0,68,1,6
32,Michigan Cherry Oat Bar,310,10.0,47,2,3
33,Multigrain Bagel,350,4.0,64,8,17
34,Oatmeal Cookie,290,12.0,40,3,5
35,Octopus Cookie,330,18.0,39,1,3
36,Old-Fashioned Glazed Doughnut,480,27.0,56,1,5
37,Peanut butter cup cookie,360,21.0,36,3,8
38,Pecan Tart,330,18.0,39,1,4
39,Petite Vanilla Bean Scone,120,4.5,18,0,2
40,Plain Bagel,280,1.5,56,2,9
41,Pumpkin Bread,410,15.0,63,2,6
42,Raspberry Swirl Loaf Cake,420,17.0,61,1,6
43,Raspberry Whoopie Pie,360,18.0,45,1,3
44,Reduced-Fat Cinnamon Swirl Coffee Cake,370,9.0,67,2,5
45,S'mores Bar,330,17.0,44,1,2
46,S'mores Bar Multipack,330,17.0,44,1,2
47,Sprouted Grain Vegan Bagel,330,6.0,57,7,12
48,Strawberry Cake Pop,180,9.0,23,0,2
49,The Classic - Bantam Bagels (2 Pack),200,8.0,28,0,6
50,Toffeedoodle,300,13.0,44,1,3
51,Vanilla Bean Whoopie Pie,360,18.0,45,1,3
52,Vermont Maple Walnut Muffin,390,21.0,45,2,6
53,Volpi™ Pepperoni & Tomato Savory Foldover,270,14.0,27,2,10
54,Strawberries & Jam Sandwich,600,25.0,80,10,19
55,Burrata & Basil Pesto Small Sandwich,300,14.0,34,2,11
56,Cage-Free Eggs & Seasoned Grains Side Salad,360,18.0,33,3,17
57,Cauliflower Tabbouleh Side Salad,130,12.0,7,3,2
58,Cubano Sandwich,430,23.0,34,3,21
59,Farmers' Market Protein Box,470,29.0,29,4,21
60,Garden Greens & Shaved Parmesan Side Salad,170,13.0,9,2,7
61,Green Goddess Avocado Salad,620,37.0,62,10,13
62,Herbed Chicken & Fig Spread Small Sandwich,300,8.0,43,2,19
63,Honey BBQ Sriracha Chicken Sandwich,360,7.0,52,3,22
64,Roasted Carrot & Kale Side Salad,440,26.0,44,7,10
65,Roasted Turkey & Dill Havarti Sandwich,600,32.0,47,6,32
66,Seared Steak & Cheddar Sandwich,530,29.0,44,2,23
67,Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,350,18.0,31,1,16
68,Smoked Mozzarella & Roasted Pepper Sandwich,500,28.0,46,4,18
69,Turkey & Fire-Roasted Corn Salad,560,29.0,53,7,24
70,Za'atar Chicken & Lemon Tahini Salad,570,23.0,67,11,27
71,BBQ Chicken Protein Box,420,16.0,49,5,22
72,Cheese & Fruit Protein Box,450,27.0,34,4,20
73,Chicken Wrap Protein Box,460,22.0,45,4,20
74,Eggs & Cheese Protein Box,460,24.0,40,5,23
75,PB&J Protein Box,520,26.0,53,5,20
76,Smoked Turkey Protein Box,360,12.0,42,5,24
77,Birthday Cake Pop,170,9.0,23,0,1
78,Chocolate Cake Pop,160,8.0,23,1,2
79,Chocolate Chip Cookie Dough Cake Pop,180,9.0,23,0,2
80,Pirate Cake Pop,180,9.0,24,0,1
81,Bacon Gouda & Egg Breakfast Sandwich,370,19.0,32,1,18
82,Certified Gluten-Free Breakfast Sandwich,280,13.0,18,6,18
83,Classic Whole-Grain Oatmeal,160,2.5,28,4,5
84,Double-Smoked Bacon Cheddar & Egg Sandwich,490,27.0,40,1,21
85,Ham & Cheese Croissant,320,17.0,28,1,14
86,Hearty Blueberry Oatmeal,220,2.5,43,5,5
87,Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,230,6.0,28,2,16
88,Sausage Cheddar & Egg Breakfast Sandwich,500,28.0,41,1,15
89,Seared Steak Egg & Tomatillo Wrap,410,18.0,43,2,21
90,Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,450,23.0,42,1,24
91,Sous Vide Egg Bites: Bacon & Gruyere,310,22.0,9,0,19
92,Sous Vide Egg Bites: Egg White & Red Pepper,170,7.0,13,1,13
93,Spicy Chorizo  Monterey Jack & Egg Breakfast Sandwich,500,30.0,35,3,26
94,Spinach Feta & Cage Free Egg White Breakfast Wrap,290,10.0,33,6,19
95,Ancho Chipotle Chicken Panini ,500,19.0,57,4,26
96,Chicken & Quinoa Protein Bowl with Black Beans and Greens,420,17.0,42,9,27
97,Chicken Artichoke on Ancient Grain Flatbread,510,27.0,37,5,24
98,Chicken BLT Salad Sandwich,470,25.0,35,3,21
99,Egg Salad Sandwich,480,27.0,42,7,16
100,Homestyle Chicken & Double-Smoked Bacon,480,17.0,57,3,23
101,Italian-Style Ham & Spicy Salami,480,20.0,49,3,22
102,Lentils & Vegetable Protein Bowl with Brown Rice,650,29.0,80,21,23
103,Roasted Tomato & Mozzarella Panini,420,18.0,47,3,11
104,Turkey & Havarti Sandwich,460,21.0,31,2,29
105,Turkey Pesto Panini,560,23.0,55,3,34
106,Berry Trio Yogurt,240,2.5,39,3,14
107,Fresh Blueberries and Honey Greek Yogurt Parfait,240,2.5,42,2,14
108,Justin's Chocolate Hazelnut Butter,180,14.0,12,3,4
109,Justin's Classic Almond Butter,190,18.0,6,3,7
110,Lemon Chiffon Yogurt,340,13.0,38,0,18
111,Organic Avocado (Spread),90,8.0,5,4,1
112,Seasonal Fruit Blend,90,0.0,24,4,1
